Country,Total_Cases,New_Cases,Total_Death
USA,"18,267,579",,"324,869 "
India,"10,056,248",,"145,843 "
Brazil,"7,238,600",,"186,773 "
Russia,"2,877,727","+29,350","51,351 "
France,"2,473,354",,"60,549 "
UK,"2,040,147",,"67,401 "
Turkey,"2,024,601",,"18,097 "
Italy,"1,953,185",,"68,799 "
Spain,"1,817,448",,"48,926 "
Argentina,"1,541,285",,"41,813 "
Germany,"1,514,783",,"26,764 "
Colombia,"1,507,222",,"40,475 "
Mexico,"1,320,545","+6,870","118,202 "
Poland,"1,202,700",,"25,397 "
Iran,"1,158,384",,"53,625 "
Peru,"997,517",,"37,103 "
Ukraine,"970,993","+6,545","16,665 "
South Africa,"921,922",,"24,691 "
Netherlands,"689,705",,"10,491 "
Indonesia,"664,930",,"19,880 "
Czechia,"627,523","+3,364","10,411 "
Belgium,"625,930","+2,170","18,626 "
Romania,"591,294",,"14,394 "
Chile,"585,545",,"16,154 "
Iraq,"584,145",,"12,697 "
Canada,"507,795",,"14,228 "
Bangladesh,"500,713",,"7,280 "
Philippines,"461,505","+1,721","8,957 "
Pakistan,"458,968","+1,792","9,392 "
Morocco,"417,125",,"6,957 "
Switzerland,"403,989",,"6,622 "
Israel,"376,359","+1,599","3,101 "
Portugal,"374,121",,"6,134 "
Sweden,"367,120",,"7,993 "
Saudi Arabia,"361,010",,"6,122 "
Austria,"338,854",,"5,351 "
Hungary,"305,130","+2,141","8,282 "
Serbia,"300,062",,"2,686 "
Jordan,"274,949",,"3,568 "
Nepal,"253,772",,"1,788 "
Panama,"212,339",,"3,566 "
Georgia,"209,462",+824,"2,140 "
Ecuador,"206,257",,"13,948 "
Azerbaijan,"202,088",,"2,210 "
Japan,"195,880",,"2,873 "
Croatia,"194,962",,"3,177 "
UAE,"193,575",,637 
Bulgaria,"191,195",,"6,609 "
Belarus,"173,523",,"1,324 "
Dominican Republic,"160,386",,"2,384 "
Lebanon,"158,104",,"1,281 "
Costa Rica,"157,472",,"1,996 "
Armenia,"154,065",+240,"2,656 "
Slovakia,"152,555","+1,219","1,618 "
Bolivia,"150,023",+253,"9,036 "
Kuwait,"147,979",,921 
Kazakhstan,"147,236",+652,"2,147 "
Qatar,"142,001",,243 
Moldova,"135,207",,"2,752 "
Denmark,"134,434",,"1,035 "
Guatemala,"132,765",,"4,656 "
Greece,"131,072",,"4,172 "
Oman,"127,931",+264,"1,489 "
Egypt,"125,555",,"7,098 "
Palestine,"122,643",,"1,141 "
Tunisia,"120,687",,"4,158 "
Ethiopia,"119,951",,"1,853 "
Honduras,"117,022",+162,"3,027 "
Myanmar,"116,134",,"2,443 "
Lithuania,"114,487","+2,130","1,039 "
Venezuela,"110,075",,988 
Slovenia,"105,899",,"2,353 "
Bosnia and Herzegovina,"105,524",,"3,625 "
Paraguay,"99,789",,"2,088 "
Algeria,"95,203",,"2,666 "
Libya,"95,200",+640,"1,369 "
Kenya,"94,500",,"1,639 "
Malaysia,"93,309",,437 
Bahrain,"90,282",,349 
China,"86,852",+23,"4,634 "
Ireland,"79,542",,"2,158 "
Kyrgyzstan,"79,254",+132,"1,331 "
Nigeria,"78,434",,"1,221 "
North Macedonia,"78,305",,"2,292 "
Uzbekistan,"76,048",+115,612 
Singapore,"58,432",+10,29 
Ghana,"53,653",,331 
Albania,"53,003",,"1,088 "
Afghanistan,"50,677",,"2,110 "
S. Korea,"50,591",+926,698 
Luxembourg,"44,491",,444 
Montenegro,"43,955",,626 
Norway,"43,905",,404 
El Salvador,"43,772",+295,"1,257 "
Sri Lanka,"37,261",,176 
Finland,"33,162",,489 
Uganda,"31,187",,231 
Latvia,"30,940",,439 
